,title,Author,Genre,Like,Url
654,The Newlywed Diary of a Witch and a Dragon,New lung / Dimang,Romance,6000000.0,https://www.webtoons.com/en/romance/the-newlywed-diary-of-a-witch-and-a-dragon/list?title_no=2448
655,The Hidden Man,A-BAM,Thriller,133369.0,https://www.webtoons.com/en/thriller/the-hidden-man/list?title_no=5217
656,On-Air,Shim bokil,Drama,159524.0,https://www.webtoons.com/en/drama/on-air/list?title_no=4319
657,All of Us Are Dead,Joo Dong-geun,Thriller,1400000.0,https://www.webtoons.com/en/thriller/all-of-us-are-dead/list?title_no=2810
658,Welfare Center ,NANA,Thriller,585109.0,https://www.webtoons.com/en/thriller/welfare-center/list?title_no=4675
659,The Earth's Chosen Savior,Shinel / Ha jung soo,Action,598714.0,https://www.webtoons.com/en/action/the-earths-chosen-savior/list?title_no=3593
660,She Would Never Know,Cafelatte / JINHA,Romance,1700000.0,https://www.webtoons.com/en/romance/she-would-never-know/list?title_no=2508
661,Long After the Ending,Dorae / Wonderdream,Romance,1500000.0,https://www.webtoons.com/en/romance/long-after-the-ending/list?title_no=4179
662,Charming You,Gulrim / Park Soo jung,Romance,881495.0,https://www.webtoons.com/en/romance/charming-you/list?title_no=4156
663,My Daughter is a Zombie,Yun-chang Lee,Comedy,2300000.0,https://www.webtoons.com/en/comedy/my-daughter-is-a-zombie/list?title_no=2190
664,Attention Residents,SUHA / Bulk-up,Horror,243708.0,https://www.webtoons.com/en/horror/attention-residents/list?title_no=5479
665,"Answer Me, My Prince",Teava / Jjunya,Romance,519047.0,https://www.webtoons.com/en/romance/answer-me-my-prince/list?title_no=4672
666,Dear X,VANZIUN,Thriller,898230.0,https://www.webtoons.com/en/thriller/dearx/list?title_no=2503
667,Wavering Worlds,Yangdam,Romance,296184.0,https://www.webtoons.com/en/romance/wavering-worlds/list?title_no=5135
668,Tales of Greed,Juin Kim / Taejun Pak Webtoon Company,Thriller,821482.0,https://www.webtoons.com/en/thriller/tales-of-greed/list?title_no=2772
669,To Make You Happy,Redgru,Thriller,168904.0,https://www.webtoons.com/en/thriller/to-make-you-happy/list?title_no=5180
670,My Irresistible Ex,Ki moong / YeoBack,Romance,941070.0,https://www.webtoons.com/en/romance/my-irresistible-ex/list?title_no=3348
671,Mystical,VAN.J,Supernatural,3700000.0,https://www.webtoons.com/en/supernatural/mystical/list?title_no=2128
672,Delusion,Hongjacga,Thriller,1100000.0,https://www.webtoons.com/en/thriller/delusion/list?title_no=2470
673,Secret Playlist,2F,Romance,4700000.0,https://www.webtoons.com/en/romance/secret-playlist/list?title_no=2395
674,I Hate That I Love You,Aericchi,Slice of life,55944.0,https://www.webtoons.com/en/slice-of-life/i-hate-that-i-love-you/list?title_no=5804
675,Super Secret,eon,Romance,12100000.0,https://www.webtoons.com/en/romance/super-secret/list?title_no=666
676,My Life as a Loser,Taejun Pak / SW Jeon,Drama,845385.0,https://www.webtoons.com/en/drama/my-life-as-a-loser/list?title_no=3114
677,The Tide,Cho Seok,Sci-fi,76612.0,https://www.webtoons.com/en/sf/the-tide/list?title_no=5718
678,Love Advice from the Great Duke of Hell,unfins,Comedy,13200000.0,https://www.webtoons.com/en/comedy/love-advice/list?title_no=1498
679,Psychic Studies,PARK EUN HYUK,Action,502002.0,https://www.webtoons.com/en/action/psychic-studies/list?title_no=3907
680,The Distance Between Us,YUJU,Romance,359276.0,https://www.webtoons.com/en/romance/the-distance-between-us/list?title_no=4738
681,Toaster Dude,littlebobler / soaporsalad,Comedy,3400000.0,https://www.webtoons.com/en/comedy/toaster-dude/list?title_no=1983
682,"Mom, I'm Sorry",MiTi / GUGU,Drama,5800000.0,https://www.webtoons.com/en/drama/mom-im-sorry/list?title_no=2049
683,GremoryLand,A.Rasen,Horror,2300000.0,https://www.webtoons.com/en/horror/gremoryland/list?title_no=1893
684,Ghost Wife,Sejung,Romance,10700000.0,https://www.webtoons.com/en/romance/ghost-wife/list?title_no=1471
685,The Most Ordinary Girl,Chogori,Romance,474343.0,https://www.webtoons.com/en/romance/the-most-ordinary-girl/list?title_no=4173
686,The Blood of the Butterfly,Remin,Fantasy,2000000.0,https://www.webtoons.com/en/fantasy/blood-of-the-butterfly/list?title_no=3162
687,Dating With a Tail,Jinha / Hepon,Romance,3300000.0,https://www.webtoons.com/en/romance/dating-with-a-tail/list?title_no=1263
688,Threads of Love,HAN KIJOO / 1,Romance,1100000.0,https://www.webtoons.com/en/romance/threads-of-love/list?title_no=3337
689,The Four of Them,Mai Hirschfeld_,Drama,9000000.0,https://www.webtoons.com/en/drama/the-four-of-them/list?title_no=1524
690,Back to You,Honey B,Drama,5100000.0,https://www.webtoons.com/en/drama/back-to-you/list?title_no=2113
691,Divine Circumstances,Yusoo / Jeong Aro,Romance,251470.0,https://www.webtoons.com/en/romance/divine-circumstances/list?title_no=4320
692,Hell is Other People,Yong-Ki Kim,Thriller,782783.0,https://www.webtoons.com/en/thriller/hell-is-other-people/list?title_no=3176
693,GOSU,Giun Ryu / Mun Jeong Hoo,Action,6400000.0,https://www.webtoons.com/en/action/gosu/list?title_no=1099
694,Anti-Monster Force,Goaten,Fantasy,518555.0,https://www.webtoons.com/en/fantasy/anti-monster-force/list?title_no=2970
695,The Snake and the Flower,Na-eum So,Historical,1100000.0,https://www.webtoons.com/en/historical/the-snake-and-the-flower/list?title_no=2619
696,Seagull,Tsubo,Drama,43540.0,https://www.webtoons.com/en/drama/seagull/list?title_no=5803
697,Zombie Ship,choi hae woong / Choi Insoo,Horror,232710.0,https://www.webtoons.com/en/horror/zombie-ship/list?title_no=3350
698,Nevertheless,Jeongseo,Romance,1200000.0,https://www.webtoons.com/en/romance/nevertheless/list?title_no=2647
699,Crimson Heart,HYBE,Fantasy,275534.0,https://www.webtoons.com/en/fantasy/crimson-heart/list?title_no=4898
700,Cheese in the Trap,Soonkki,Drama,9600000.0,https://www.webtoons.com/en/drama/cheese-in-the-trap/list?title_no=99
701,Edith,Swansgarden,Romance,11100000.0,https://www.webtoons.com/en/romance/edith/list?title_no=1536
702,My ID is Gangnam Beauty!,Maenggi Ki,Drama,1400000.0,https://www.webtoons.com/en/drama/my-id-is-gangnam-beauty/list?title_no=3064
703,"Date First, Love Later",HAPPYBOOKSTOYOU / jungmi,Romance,2000000.0,https://www.webtoons.com/en/romance/date-first-love-later/list?title_no=3345
704,Ghost Teller,QTT,Horror,5300000.0,https://www.webtoons.com/en/horror/ghost-teller/list?title_no=1307
705,Behind the Curtain,dagwa,Romance,207837.0,https://www.webtoons.com/en/romance/behind-the-curtain/list?title_no=2858
706,microHUNTER,B.Y / JRobin,Action,3100000.0,https://www.webtoons.com/en/action/microhunter/list?title_no=2320
707,No Outtakes,Go Sunyoung,Romance,883536.0,https://www.webtoons.com/en/romance/no-outtakes/list?title_no=4013
708,Ecstasy Hearts,SilentMaru,Sports,4500000.0,https://www.webtoons.com/en/sports/ecstasy-hearts/list?title_no=604
709,Love Song for Illusion,VANZIUN,Fantasy,307247.0,https://www.webtoons.com/en/fantasy/love-song-for-illusion/list?title_no=5216
710,Heavenly Roommates,MARO / kang jaegeon,Fantasy,862363.0,https://www.webtoons.com/en/fantasy/heavenly-roommates/list?title_no=3208
711,SAMADHI,LEE WONSIK / GGULCHAN,Superhero,613917.0,https://www.webtoons.com/en/super-hero/samadhi/list?title_no=3049
712,The Hip Guy,HENIE,Comedy,1600000.0,https://www.webtoons.com/en/comedy/the-hip-guy/list?title_no=2577
713,If AI Ruled the World,POGO / HOOPA,Sci-fi,665572.0,https://www.webtoons.com/en/sf/if-ai-ruled-the-world/list?title_no=2605
714,So You're Raising a Warrior,JEON Segi / JEON Hoyun,Fantasy,1700000.0,https://www.webtoons.com/en/fantasy/so-youre-raising-a-warrior/list?title_no=3175
715,Escape Room,10PARK,Thriller,3100000.0,https://www.webtoons.com/en/thriller/escape-room/list?title_no=1815
716,The Wolf & Red Riding Hood,XUANN,Comedy,3700000.0,https://www.webtoons.com/en/comedy/wolf-and-red-riding-hood/list?title_no=2142
717,7FATES: CHAKHO,HYBE,Fantasy,2600000.0,https://www.webtoons.com/en/fantasy/7fates-chakho/list?title_no=3784
718,HIVE,kim kyusam,Thriller,3000000.0,https://www.webtoons.com/en/thriller/hive/list?title_no=65
719,Mythical Errand,GGOLI,Fantasy,582269.0,https://www.webtoons.com/en/fantasy/mythical-errand/list?title_no=4014
720,The Sound of Another,Baek June / Thresher,Sci-fi,446491.0,https://www.webtoons.com/en/sf/the-sound-of-another/list?title_no=2955
721,Madame Outlaw,Junk Ren / WmW,Historical,1300000.0,https://www.webtoons.com/en/historical/madame-outlaw/list?title_no=2716
722,My Guardian Demon,Han SeRam / Su Ja,Romance,132763.0,https://www.webtoons.com/en/romance/my-guardian-demon/list?title_no=4321
723,Oh! Holy,Ahyun,Romance,8700000.0,https://www.webtoons.com/en/romance/oh-holy/list?title_no=809
724,Agatha,Dain Lee,Drama,686464.0,https://www.webtoons.com/en/drama/agatha/list?title_no=3525
725,Double-Binded By Love,Fortune King / Esam,Romance,221424.0,https://www.webtoons.com/en/romance/double-binded-by-love/list?title_no=3438
726,Who's Mr. President?,S.M.S / KING Productions,Drama,786278.0,https://www.webtoons.com/en/drama/whos-mr-president/list?title_no=4117
727,Guaba,Puik,Drama,140308.0,https://www.webtoons.com/en/drama/guaba/list?title_no=5634
728,Refund High School,LICO,Fantasy,12000000.0,https://www.webtoons.com/en/fantasy/refundhighschool/list?title_no=1360
729,Fast Forward,PORTO / Hong Jun Ki,Thriller,1000000.0,https://www.webtoons.com/en/thriller/fast-forward/list?title_no=2764
730,The Predator,Chi Chi / Shin Heebin,Thriller,560395.0,https://www.webtoons.com/en/thriller/the-predator/list?title_no=3454
731,The Double Agent,Hayeon / Charles,Historical,1200000.0,https://www.webtoons.com/en/historical/the-double-agent/list?title_no=3209
732,DICE,Hyunseok Yun,Fantasy,10500000.0,https://www.webtoons.com/en/fantasy/dice/list?title_no=64
733,Love and Leashes,Winter,Romance,2200000.0,https://www.webtoons.com/en/romance/love-and-leashes/list?title_no=3919
734,The Wrath & the Dawn,Renée Ahdieh / SilvesterVitale,Fantasy,5700000.0,https://www.webtoons.com/en/fantasy/the-wrath-and-the-dawn/list?title_no=1772
735,Ghost King,SON GOHOO / PARK JINSEOK,Action,426895.0,https://www.webtoons.com/en/action/ghost-king/list?title_no=4005
736,Days of Hana,Seokwoo,Drama,7600000.0,https://www.webtoons.com/en/drama/days-of-hana/list?title_no=1246
737,THE STAR SEEKERS,HYBE,Fantasy,1100000.0,https://www.webtoons.com/en/fantasy/the-star-seekers/list?title_no=3786
738,This Life to the Next,jojoohee / YUNO,Drama,361665.0,https://www.webtoons.com/en/drama/this-life-to-the-next/list?title_no=4217
739,Tales of the Unusual,Sungdae Oh,Horror,10100000.0,https://www.webtoons.com/en/horror/tales-of-the-unusual/list?title_no=68
740,Vixen: NYC,Jasmine Walls / Manou Azumi,Superhero,496713.0,https://www.webtoons.com/en/super-hero/vixen-nyc/list?title_no=4169
741,Prince Maker,Suosu,Fantasy,694583.0,https://www.webtoons.com/en/fantasy/prince-maker/list?title_no=3263
742,Plaza Wars,O se hyung / Kim gyun tae,Action,143120.0,https://www.webtoons.com/en/action/plaza-wars/list?title_no=4359
743,It Was All You,I SOON KI / OH5HO,Sci-fi,1300000.0,https://www.webtoons.com/en/sf/it-was-all-you/list?title_no=2675
744,Lullaby,MJ / Baeklee,Fantasy,397237.0,https://www.webtoons.com/en/fantasy/lullaby/list?title_no=4154
745,Devilish Romance,Lee Kong-joo / White Eagle,Supernatural,2700000.0,https://www.webtoons.com/en/supernatural/devilish-romance/list?title_no=2529
746,Our House,Jinha / Jin Jong Kyung,Slice of life,372072.0,https://www.webtoons.com/en/slice-of-life/our-house/list?title_no=3789
747,Bloodhounds,Jeong Chan,Action,171413.0,https://www.webtoons.com/en/action/bloodhounds/list?title_no=4000
